"review","rating","produk","packaging","pengiriman","general"
"barang sudah diterima, tapi banyak lecet nya terutama di bagian camera
semoga konsumen ga protes
lain kali mohon di cek lagi yaa","3",-1,0,0,0
"barang udah nyampe,tanks ya.cuma talinya gampang copot","3",-1,0,0,0
"terimakasih barang sudah saya terima, tapi kondisi jam tangan yang satu ini kurang bagus tidak bisa nelpon","3",-1,0,0,0
"ngga bisa di update firmware, versi Mediatek: MTK60D","3",-1,0,0,0
"1. Pengiriman lama 6 hari..
2. Kualitas kurang bagus.. volume tape harus dibesarkan baru terdengar
3. Suara kurang jernih.. seperti frekuensinya tidak pas.. sudah coba di berbagai chanel.. ","3",-1,0,-1,0
"suka ngehang dan force close, isi box minimalis","3",-1,0,0,0
"Ada harga ada kualitas itu sy setuju, tp blm 6jam dipakai ring karet utk pegangan talinya sudah putus sendiri.seperti bahannya getas, bukan karet seperti yg di gbrkan...lumayanlah buat pakai sebulan trus dibuang....","3",-1,0,0,0
"Respon dan pengiriman cepat, gak nyangka sehari nyampe. ","3",0,0,1,0
"Pengiriman cepat, cuma barang warna  tdk sesuai di gambar,,,tapi ga pa pa dech,,, trima kasih famous store n blibli.com","3",-1,0,1,0
"Packing bagus tpi gak bisa buka format mp4 huh menyebalkan.. ","3",-1,1,0,0
"berfungsi baik cmn tidak semua bisa ita tonton, ada chanel yg berbayar yg ga bisa kita tonton","3",1,0,0,0
"Sudah dipakai 1 Minggu,blm ada kendala sih.thanks Blibli ","3",0,0,0,1
"Awal membeli excited banget. Tapi pas barang datang tidak sesuai dengan warna. Di situs tertulis graphite black tapi yg datang malah warna gold. Dan sepertinya barang merupakan barang BM, kalo dilihat dari tampilannya sih (saya penggemar berat sony). Tapi tidak masalah sih karena barang bisa digunakan dengan normal seperti fungsi barang aslinya.","3",-1,0,0,0
"Barangnya bagus tpi saya kurang puas karna saya pesan warna hitam mlh sampainya warna putih","3",-1,0,0,0
"Laptopnya bagus,, tapi sayang tidak sesuai dengan deskripsinya. Di deskripsinya vga nya R7, tapi nyatanya R5. ","3",-1,0,0,0
"Barang sudah diterima, hanya  nomor resinya yang tdk diupdate..jd susah pantaunya, cukup memuaskan","3",0,0,-1,0
"Pengiriman barang terlambat sehari/ lewat sehari dari estimasi pengiriman barang. Pengiriman barang butuh waktu 7 hari dan menurut saya itu terlalu lama. Padahal jarak masih Jabotabek. Untuk harga harga mantap 👍","3",0,0,-1,0
"Barang cepat sampai dan sesuai. Akan tetapi warna yg dipilih gold tidak ada dan harus ditukar warna lain. ","3",-1,0,1,0
"salah beli neh...barangnya garansi internasional..tp berfungsi baik...paling2 ribet nantinya kl mau klaim garansi..tp mudah2an ga bermasalah..","3",1,0,0,0
"Proses pengirimannya lama benerr. Agar lebih diperhatikan lg.","3",0,0,-1,0
"pengiriman cepat.. baterenya kok 0% sampe ga bisa dinyalain... semoga aja baik2 saja","3",0,0,1,0
"Barang diterima dan berfungsi dengan baik awalnya saya kira bukan yang global tp ternyata setting hp kita harus english supaya menunya english. Sayangnya yang membuat bintang tidak full adalah tulusan amazfit pada huruf T tidak sempurna ","3",1,0,0,0
"Kardus datang dalam keadaan penyok   tp untung produknya tdk apa2","3",0,-1,0,0
"Bagus,,,tp bllum d coba pke sim card","3",1,0,0,0
"Barang sudah sampe, tapi gak bisa hidup. Di layar hanya muncul gambar HP connect ke Jam. Mohon info cara menghidupkannya.","3",-1,0,0,0
"GPS blom berfungsi, ini gak bisa atau gw gak ngerti.. Nnti gw update lgi.","3",-1,0,0,0
"Thx brg sampe
Pengiriman cepat
Tp syg kotak penyok bagian atas...:(","3",-1,0,1,0
"Pengiriman cukup cepat, barang lumayan, packaging kurang","3",0,-1,1,0
"trima kasih barang sudah sampe sesuai pesanan,saya sangat suka,,,pembayaran mudah ga ribet,,,,pertahankan ","3",1,0,0,0
"Barang diterima baik. Hanya mestinya kan kalau di series 3 ada warna merah di digital crown nya. Yang dikirim ke saya tidak ada merahnya.","3",-1,0,0,0
"Produknya baik hanya saja packingan brg nya tidak bagus...buble wrap tidak terpasang rapi, terkesan asal2an...sangat mengkhawatirkan utk pengiriman produk yg mudah pecah..tks","3",1,-1,0,0
"Hari ini baru terima
Packingnya rusak dan ndak rapi
Trus pas dibuka kamera lecet.
Dan ternyata kebesaran ditangan juga sih atau gara-gara saya perempuan?
Dilihat dari barangnya sudah pernah digunakan alias second karena ada beberapa bagian yg lecet juga

Sedikit kecewa sih .. ","3",-1,-1,0,0
"Barang di terima dengan packagin yg sangat rapi, fast delivery, barang asli but produk singapore, mulus dan bagus! Cuman 1 poin minus nya yaitu segel telah terpotong. Awal buka kotaknya tidak perlu pake silet lgsg terbuka..overall mantap!! 
","3",1,1,1,0
"Pelayanan cepat, tapi produk yang dikirim bukan versi nike... terlanjur sudah dibuka packagingnya sehingga tidak dikembalikan","3",-1,0,0,0
"Barang sesuai deskripsi.tapi sayang prose pengiriman agak lama","3",1,0,-1,0
"barang lumayan oke, pengiriman baik tidak terlalu lama. tapi hasil cetak Foto kurang memuaskan warna dan tekstur tinta nya mudah luntur. ","3",-1,0,1,0
"over all bagus, cuma ane ada troble nih gak bisa ngeprint warna. entah eror atau settingan nya salah","3",-1,0,0,0
"Barangnya sudah diterima...Sudah dipakai ngeprint...Hasilnya bagus..Thanks blibli.com Tapi Kok ada biaya pengiriman ya...biasanya gratis....he..he..","3",1,0,0,0
"Pengiriman sangat lama, dan dus ada yg tidak bagus, sudah robek","3",0,-1,-1,0
"barang sudah sampai.terima kasih ya gan.saya rekomendasi ini guy's","3",0,0,0,1
"Produk nya sie sesuai.. Tp pengirimannya yg ngeewakan.. Sampe barang nya lewat etimasi..","3",1,0,-1,0
"Kiriman cepat ,..packing seadanya hanya  dibungkus plastik hitam rawan penyok dusnya,..","3",0,-1,1,0
"Saya beri bintang 3 karena tombol kalkulator tenggelam, walaupun masih berfungsi. Mau saya kembalikan cuma malas","3",-1,0,0,0
"packing lgsg kotaknya. ada sobek dikit agak khawatir untung gpp. overall oklah","3",0,-1,0,0
"Produknya bagus. Sayang dalam proses pengirimannya membuat kotak nya remuk. Beruntung isinya tidak rusak","3",1,-1,0,0
"+ Tinggal colok, ga perlu install driver. Keyboardnya ada penyangganya. Sdh termasuk baterai

- Scroll mousenya kurang smooth. Packing cuma pake cling wrap, ga pake bubble wrap maupun kardus, pas nyampe boxnya udah penyok2 :( agak kecewa soalnya biasanya kl beli dari blibli packingnya bagus, apalagi ini barang elektronik yg rawan rusak kl kebanting2 :(","3",-1,-1,0,0
"barang bagus..tp packing kurang tebel, jd kardus logitechnya penyok
oh iya penjual jg kirim 2 paket yg sama ke sy, akhirnya sy di contact utk kirim balik ke penjual...jd merepotkan","3",1,-1,0,0
"Berfungsi dengan baik, tapi sayang cara packing sangat tidak puas akibatnya bungkus kotak penyot penyot,  itu saja sih kekurangannya","3",1,-1,0,0
"Di kirim tidak dikemas dengan kotak hanya di bungkus dengan bubble wrap seperti membungkus barang bekas","3",0,-1,0,0
"Nyaman untuk digunakan mengetik. Bisa pairing sampai 3 gawai. minusnya lebih berat dari kelihatannya. Menunjukkan kualitas Logitech memang tidak main-main.","3",1,0,0,0
"Produk bagus . Sayang tak ada dongle bluetooth utk koneksi ke pc..","3",1,0,0,0
"Great!  Barang sampai lebih cepat dari ekspektasi. Packaging rapi,  aman,  semoga awet.  Trimakasih.","3",0,1,1,0
"Aku kira bs utk windowa 7 ternyata hanya bisa windows 8 dan 10..jd sia2 dah belinu","3",0,0,0,-1
"Keyboard kurang responsif , terkadang tidak berfungsi 😭😭😭
","3",-1,0,0,0
"Produk pastinya bagus. Sayang pengiriman super lama (bukan salah Kurir, tapi pengriman barang dri seller nya yang lama , jadinya barang bru d terima setelah 2 minggu order)","3",1,0,-1,0
"Kiriman lumayan cepet ke sukabumi padahal gratis trims blibli dan seller
Soal produk ternyata kecil yaa tapi over all good","3",-1,0,1,0
"oke juga barangnya, harganya juga ga terlalu mahal","3",1,0,0,0
"Barangnya bagus, cuma pengiriman sangat tidak disarankan. Sempet uyel uyelan sama pihak FIR krna ga mau anter ke alamat, complain ke admin Blibli langsung difollow upkan. Saya mengajukan agar FIR ditiadakan saja.","3",1,0,-1,0
"Untuk barang sesuai kebutuhan dengan harga bersaing. Pengiriman barang biasa2 saja, krn untuk jarak dr penjual ke alamat saya tergolong dekat (Dewi Sartika, Cawang ke Pondok Bambu)...","3",1,0,0,0
