"review","rating","produk","packaging","pengiriman","general"
"Keren dah JBL, Recomended..Thx blibli.com pesan kemarin hari ini sudah terima barangnya... Mantap","5",1,0,1,0
"Pertama belanja di blibli...overall ok
..packing bagus...pengiriman cepat...sebagai tester it's ok.","5",0,1,1,0
"mantap barang sampai dengan selamat. packingnya oke.","5",0,1,0,0
"Baru kemarin order, besok malamnya udah nyampe plus packagingnya rapi","5",0,1,1,0
"Barang sampai dengan selamat, packing rapih dan aman, untuk kualitas tidak diragukan karna asli dari jbl","5",1,1,0,0
"Bagus banget dapet bag kecil dan sehari sampai","5",1,0,1,0
"Barang original kualitas Bose. recomendeed buat runner","5",1,0,0,0
"Nyaman dipakai, kualitas suara bagus, 10/10, terimakasih :)","5",1,0,0,0
"Suara bass mantap....kualitas ok. Hanya suara vocal kebanting dengan bassnya","5",1,0,0,0
"sekali lagi... blibli jos... apalagi pengiriman dalkot nya... cepet","5",0,0,1,0
"Pengiriman ternyata cuma 1 malam aja , barang pun berfungsi baik dan normal 
","5",1,0,1,0
"Brg bgus asli dan sesuai deskripsi. Thanks blibli dan anker indonesia. Dtggu promo berikutnya smoga hrganya makin terjangkau","5",1,0,0,0
"Produk sangat memuaskan dan tidak mengecewakan, sesuai dengan reputasi brand anker","5",1,0,0,0
"Bagus.... Dgn charger 2a arus output bisa sampai 1,9xx ampere.","5",1,0,0,0
"produk original, pengiriman cepat, very recommended seller !!","5",1,0,1,0
"bener2 zakti....cepet buat charge oke banget pokoknya sukaaaa","5",1,0,0,0
"Produk kuat sesuai deskripsi harga sangat terjangkau.","5",1,0,0,0
"Packing rapi pengiriman cepat produk sangat memuaskan","5",0,1,1,0
"Kualitas barang memuaskan sesuai spesifikasi.
Selalu puas belanja di blibli","5",1,0,0,0
"Kabel chargernya bagus. cash hp pake kabel ini lebih cepat daripada pakai charger bawaan hp :)","5",1,0,0,0
"Barang sesuai dengan pesanan dan pengirimannya sangat cepat. Thanks Blibli =)","5",1,0,1,0
"Pengiriman sangat cepat, no damage, barang original and warranty TAM, berfungsi dengan baik, dpt cashback 100%","5",1,0,0,0
"Kualitas oke pengriman oke blibli.com mantaap YESSS","5",1,0,1,0
"Thanks... Hp nya tiba dengan selamat...☺ packingannya rapi dan aman.. Semoga awet.","5",0,1,0,0
"Trimksh hp sdh dtg dngn slmat walaupun lambat tpi brg sesuai dan memuaskn","5",1,0,-1,0
"Walaupun telat dan nyasar duluan, tp barangnya original. Moga2 dapat diperbaiki pengirimannya","5",1,0,-1,0
"barangnya bagus, puas pakenya, baterai tahan lama... recommended","5",1,0,0,0
"lebih murah beli di sini,packing bagus dan aman,masih bersegel semoga awet ","5",1,1,0,0
"Pengiriman baik, packing ok, sesuai deskripsi mantap","5",1,1,1,0
"ini adalah pesanan perdana saya dengan blibli.com, dan akan ada pesanan lainnya yang akan saya lakukan dengan layanan yang baik seperti ini.","5",0,0,0,1
"Walsupun pengiriman nya jauh tetap cepet dan free ongkir","5",0,0,1,0
"Luar biasa pesan pagi besok siang Dateng... Top","5",0,0,1,0
"Sudah di terima dengan baik dan benar makasih ya","5",0,0,0,1
"Vivo y71 sampai dengan selamat.packing nya joss gandos.pengirimannya rumayan cepat...ok
Tks blibli","5",0,1,1,0
"Pengiriman cukup cepat, kemasannya sayang tidak di bubble wrap. Tapi overall semua baik dan sesuai ekspektasi. Thankyou blibli","5",1,-1,1,0
"Ternyata kelihatan kecil yah layarnya, tapi tampilan oke","5",1,0,0,0
"Wow barang cepat sampai cuma 2 hari, packingnya oke barang oke, puas belanja di Blibli
Trima kasih","5",1,1,1,0
"One day services 👍👍

Packing bagus...pengiriman cepat...produk sesuai deskripsi dan nyaman untuk digunakan...
Sesuai dengan apa yang ditawarkan... 
","5",1,1,1,0
"Barang oke. Tapi pengiriman Lama Lama lamasekali","5",1,0,-1,0
"barang datang sesuai pesanan , semoga awet","5",1,0,0,0
"Barang sdh diterima dlm kondisi sempurna. Tq Blibli","5",1,0,0,0
"Pengemasannya mantap, aman. Bonus include semua...puas. srmoga awet","5",1,1,0,0
"HDD berfungsi baik dan cepat banget sampainya.","5",1,0,0,0
"Bagus,cpt sampai,ori made in thailand.hdd terbaca cm 1,81tb..","5",1,0,1,0
"Barang cepat sampainya... Dan diterima dengan baik.. ","5",0,0,1,0
"Pengiriman produk sangat cepat. Bayar tadi pagi siang ini sudah sampai. Banyak diskon menarik.","5",0,0,1,0
"Harga Murah dan produk ok...pakai voucher lebih murah lagi... :D","5",1,0,0,0
"Packing rapi banget dan pengiriman sangat cepat.","5",0,1,1,0
"Barang ok. Udah nyoba copy data cepet bgt jg. Semoga aweeet aweeet🙏. Thanks","5",1,0,0,0
"Hardisk Seagate yg bagus, dan cepat sekali pengiriman nya.","5",1,0,1,0
"Barang OK .. Sipp DEH Pokok nya !!!","5",1,0,0,0
"Barang sampe hitungan jam, kelengkapan bentuk eartips dan foam, dikasih juga alat untuk gulung kabelnya. Harga murah untuk tipe over-ear

Bassnya gede, sedikit boomy, tapi cukup tight. Kalo dipakai untuk lagu kencang bassnya gak meleber.
Vocalnya di tengah, kadang ketutup instrumen.
Highnya kurang crisp.

Definitely Worth it dengan harga promo ini","5",1,0,1,0
"Packing bagus...barang msh segel... stlh di coba suara sip..mantapp... thx blibli.com","5",1,1,1,0
"produk yang disediakan dan dikirim oleh Blibli memang berkualitas ... packing rapi dan aman ... pesan kamis jumat sampai ... baru mengulas karena baru ambil barang dari kantor ... suaranya ajiiiib","5",1,1,1,0
"Kualitas sangat baik harga ok untuk merek yang sudah dikenal","5",1,0,0,0
"Pengiriman lebih lama dari ekspektasi saya. kualitas barang terjamin, packnya rapi. tapi harga kalau beli di blibli kurang bersaing dengan yang lainnya","5",1,1,-1,0
"Sering-sering dong Blibli bikin promo kayak gini ya ditunggu yang lainnya! Pokonya asal murah deh ya!","5",0,0,0,1
"Packing rapi , barang bagus, dan pengiriman cepat. thanks blibli","5",1,1,1,0
"Lagi-lagi dibuat kagum produk earphone dari blibli produk seuprit packagingnya safety banget dan kardusan lagi... produk garansi 2 tahun dengan harga 70an hahaa mantaaaps","5",0,1,0,0
"Kemarin siang order, keesokan pagi dah sampe, keren, suara jernih, beli utk kedua kalinya, jbl top","5",1,0,1,0
"Barang bagus, suara mantap, dan ada garansinya. Puas banget, terima kasih.","5",1,0,0,0
"Kualitas barang bagus seperti layaknya JBL. tetapi agak lambat dalam pengiriman.","5",1,0,-1,0
"Barang original, berfungsi sangat baik. Clarity nya cukup bagus untuk  harga segini","5",1,0,0,0
"Terima kasih banyak Blibli pengiriman cepat respon seller baik dan pengemasan baik","5",0,1,1,0
"Mantap mantul barang sangat bagus kualitas maknyuusss","5",1,0,0,0
"respond pengiriman cepat dan barang ori pastinya","5",1,0,1,0
"Pengiriman cepat, packing baik dan aman. Thanks erafone dan Blibli","5",0,1,1,0
"Pengiriman lama tiba dikirim oleh blibli tapi melewati estimasi penerimaan produk.","5",0,0,-1,0
"Sudah diterima dgn baik. Semoga awet. Terimakasih","5",0,0,0,1
"- Barang dipesan hari Minggu, diterima hari Jumat.
- Paket dikemas cukup rapi & rapat.
- Barang berfungsi  dengan normal","5",1,1,-1,0
"mantap bgt hapenya...garansi resmi lagi, thx blibli","5",1,0,0,0
"Produk belum dibuka karena beliin orang lain, yang jelas pengirimannya cepat","5",0,0,1,0
"Mantaap order dan dikirim dihari yg sama.. handphone juga masih SEGEL..harga juga discount menggunakan voucher blibli.sangat mantaap blibli deh...recommended deh","5",1,0,1,0
"Masih segel, packing rapih, barang ORI, barang berfungsi dengan baik","5",1,1,0,0
"Barang sampai dengan kondisi yang baik. Produk di sealed dan di wrap dengan bubble. Pengiriman menggunakan gosend, tiba keesokan hari","5",1,1,1,0
"Produk ok da murah. Minggu lalu tanya di xiao mi nya blm ada sedangkan di toko rata rata harganya jauh diatas blibli.com
","5",0,0,0,1
"Pengiriman sangat buruk lama banget...ke bekasi saja nyampe 3 hari.kalau tetangga aja bisa blnja skrang besok udah nyampe..","5",0,0,-1,0
"Sudah pembelian ke 4x nya ini, temen-temen pada nitip semuanya.

barang okey, sesuai dengan yang sebelumnya, cuman ga ada bonus anti gores nya, overall sih okey dah","5",1,0,0,0
"Pesan jum'at besoknya dah sampai, garansi TAM  matap jiwa","5",1,0,1,0
"Barang udah sampe , packing rapih..barangnya original.tq","5",1,1,0,0
"Jam bekerja dgn sangat baik sampai sekarang, packaging rapi. Dan sudah coba semua fiturnya berjalan dgn baik.","5",1,1,0,0
