"review","rating","produk","packaging","pengiriman","general"
"produk bekerja dengan baik,tapi material kabelnya mencemaskan.saya jadi ga yakin ini barang asli","2",-1,0,0,0
"packing mengecewakan tanpa diberi pengaman..hanya kardus biasa ","2",0,-1,0,0
"Bahaya yaa nggak ada kartu garansi nya 👎","2",-1,0,0,0
"Beli note 9 , redeem vocher di samsung gift harusnya dapet 1 jt kalau unit baru, tp ternyata gagal krn sudah terdaftar atas nama orang lain, imei atas nama orang lain. Jadi saya kembalikan sesuai saran cs. ","2",-1,0,0,0
"WD Sudah sampai ke saya, hanya saja tidak ada keterangan garansi WD, padahal setau saya WD ada garansi 3 Th, dan saya pikir produknya bercasing alumunium aloy tetapi casingnya hanya plastik.","2",-1,0,0,0
"Order 2 unit, untuk seller sekelas erafone mengecewakan. 1 unit dikirim produk repackingan","2",0,-1,0,0
"barang baik, berfungsi dengan baik, namun segelnya rusak","2",1,-1,0,0
"ditulisnya garansi resmi, tapi yg dikirim bukan yg garansi tam
tapi barang yg chinese version","2",-1,0,0,0
"Kok udah upgrade firmware dan fairing ttp aja bahasa China bkn bahasa Indonesia atau bahasa inggris","2",-1,0,0,0
"Barang tidak di segel, sudah terbuka, tadinya buat kado tapi plastik terbuka ga jadi deh,baru kali ini beli di blibli dapet yang bnob bukan bnib","2",0,-1,0,0
"Packing rapi, barang berfungsi sesuai deskripsi. Tetapi pengiriman lama","2",1,1,-1,0
"Barang tidak sesuai deskripsi karena tertulis garansi TAM tetapi yang diterima tidak ada garansi TAM sama sekali","2",-1,0,0,0
"Daya tahan bateri sangat kurang, hanya tahan setengah hari
","2",-1,0,0,0
"Packaging rapi, namun pengisian batere lama dan sulit. Terkadang berhasil di charge, terkadang tidak.","2",-1,0,0,0
"No seri airpod berbeda dengan kotak.
Cek di coverage apple, utk seri di kotak terdaftar sedangkan seri di AirPod tidak valid.
Tp barang dengan kondisi segel.","2",-1,0,0,0
"Halo.. saya menerima paket ini tanpa ada item wireless charging support (sebagai penyangga) pada box,
Pengajuan pengembalian barang tidak dapat sy lakukan karena selalu error pada saat upload foto..","2",-1,0,0,0
