"review","rating","produk","packaging","pengiriman","general"
"Dipesan RAM 6GB, dikirim RAM 4GB , semoga bisa diganti dengan pesanan yg sesuai","1",-1,0,0,0
"Produk ada blank hitam di bagian kiri bawah layar","1",-1,0,0,0
"SAYA BELUM TERIMA PRODUK SAMA SEKALI.

NO. RESI TIDAK SESUAI DENGAN ALAMAT SAYA.

MOHON MASUKIN NO. RESI YANG BENER.","1",0,0,-1,0
"Kartu garansi diluar,  robek pula dan garansi gak jelas","1",0,-1,0,0
"Blibli distributor nya harus di black list, hp yg sy pesan baru sekitar 2 minggu ada kendala dan sy bawa ke servis centre distributornya, sy dijanjikan 2 minggu, tp sdh lewat waktu hp sy blm selesai juga.","1",-1,0,0,0
"Kok srkarang byr ongkir sih.. Kmrn2 ga...  Jd bete sma blibi mna mhl lg ongkirnya 200rban.. ","1",0,0,0,-1
"Pembelian KBO 190LW di blibli pertanggal 12 Juni 2018. Kartu Garansi setelah di cek berlaku sampai dengan November 2018. Hanya sisa 5 bulan lagi, kayaknya barang reject orang lain dikirim ke saya. Kardus ada melengkung ke bawah di bagian atas nya dan ternyata memang ke oven nya rada penyok di bagian atas nya.
Yah semoga aja awet.","1",-1,-1,0,0
"Ini toko engga recomended bgt!!! Oven yg saya terima penyok.. Bukan salah ekspedisi karena kardus ny kokoh dan ok ga ada penyok sama sekali.. Emang barang ny penyok dr seller.. Sayang aja udh mepet libur lebaran.. Klo ga mepet libur lebaran udh minta retur!!! Tolong donk jd seller yg jujur dan profesional!!!! Jgn beli di toko ini deh!!! NOT RECOMENDED!!!","1",-1,0,0,0
"Barang yang dikirim cacat (penyok didinding samping oven).... itu bukan karna kesalahan jasa pengirimnya. Krna kardus dalam keadaan rapi tanpa ada penyok sedikitpun. Kecewa dengan pelayanan toko ini.... ","1",-1,0,0,0
"Sampe sekarang barang blm saya terima,. Parah","1",0,0,-1,0
"Barang penyok, minta retur, dikirim lagi masih penyok juga walau mendingan, udah malas retur lagi, harusnya packing kayu. ","1",-1,-1,0,0
"Katanya tingginya 3cm tp pas dtg g smpk 3cm","1",-1,0,0,0
"Yang dikirim bukan motif rainbow tapi motif mario super dan ukurannya bukan king tapi single. Mengecewakan....","1",-1,0,0,0
"Saya pikir ukuran xl sesuai dan pas di badan,tidak taunya lengannya keciiiiiiiiiiiiiiiil....bngt!!!!!!!!!!","1",-1,0,0,0
"Produk ternyata rijek, ada noda kuning. 
Di disc krn brng rijek bukan disc histeria","1",-1,0,0,0
"pesanan belum saya terima tolong di pastikan .karena di jnt 02 .plaju .iya itu saya nama kusut .no hp 085927952441.belum menerima pesanan saya .","1",0,0,-1,0
