"review","rating","produk","packaging","pengiriman","general"
"order barang ini menggunakan RPX priority agar lebih cepat sampai, tapi setelah 3 hari belum ada no resi pengirimannya. Tetapi order item lainnya menggunakan JNE std lebih dahulu dikirim dan muncul no resi nya. Mudah-mudahan kualitas barangnya tidak mngecewakan, krn sampai skr masih blum diterima.","1",0,0,-1,0
"Snapdragon sy tanya Snapdragon 626 tp sy terima 450 tolong di tukar..","1",-1,0,0,0
"Lama sekali sampenya.jkt mlg masak 7 hari baru sampe.parah blibli.kecewa.","1",0,0,-1,0
"Produk sudah diterima..  Handphonenya bagus tapi headset tidak ada pada box... ","1",-1,0,0,0
"Pengiriman lambat, dri tgl 9, thl 16 baru nyampe, ampun dah","1",0,0,-1,0
"Isi dalam paket tidak sesuai. Tidak ada kartu garansi!
Sudah dihubungi customer service dan dikatakan invoice menjadi pengganti kartu garansi.","1",-1,0,0,0
"Saya kecewa, karena saya pesan warna GOLD tapi dikirim nya warna BLACK tanpa konfirmasi lebih dulu.","1",-1,0,0,0
"Dus Penyok kayaknya bukan karena pengiriman, tetapi dari penjualnya dikasih dusnya penyok, parah Excellent cell,ga bakal beli disii lagi.","1",0,-1,0,0
"Pengiraman lama
Kartu garansi tidak ada
Bon pbelian tdk ada","1",0,-1,-1,0
"Redmi note 5 red 4/64, Proses untuk masuk ke shipment terhitung lama, packing pengiriman baik,tapi setelah datang barang yang saya terima berkemasan repacking ,bagaimana ini? ","1",0,-1,-1,0
"Barang yang datang bukan garansi resmi nyesel beli disini","1",-1,0,0,0
"Barang yang datang bukan garansi resmi nyesel beli disini, segel rusak","1",-1,-1,0,0
"Barang dikatakan garansi resmi, tap, bukan garansi resmi ","1",-1,0,0,0
"saya pesan 2 tapi yg dikirim 1. gimana bos?","1",-1,0,0,0
"Pesanan nyasar gak tau ke siapa, sama sekali belum diterima, sudah lapor ke blibli dan masih d proses katanya","1",0,0,-1,0
"Di sini tertulis internasional. Harusnya dlm bahasa inggris kan?  Barang datang saya buka. Semua dlm bahasa china. Kartu petunjuk dll jg dlm bahasa china. Saya bisa kontak ke mana ini kalo mau hubungi penjual????","1",-1,0,0,0
"barang sampai dalam keadaan baterai mi band 2 kosong, dan kabel charge tidak berfungsi, model sensor belakang berbeda dengan punya saudara saya yang sama2 mi band 2 (apakah ini barang original?) tolong penjelasannya blibli","1",-1,0,0,0
"Pertama pakai berjalan baik dan normal, tetapi saat ini terhitung dari 29 maret 2018 smartband saya Mati Total tidak bisa digunakan sama sekali, sudah dicharge juga tidak hidup, Padahal belum ada sebulan dari saya terima barang langsung tanggal 12 maret 2018. Kecewa tapi mau gimana lagi sudah Mati Total dan garansi toko cuman 15 hari.","1",-1,0,0,0
"Kiriman nya lama lebih dari 1 minggi","1",0,0,-1,0
"Barangnya sudah terbuka segel plastiknya. Dusnya putih, tidak coklat.","1",0,-1,0,0
"Barang yang datang bukan Garansi TAM !! Padahal judulnya Garansi TAM , Gak ada sticker TAM di packaging.","1",-1,-1,0,0
"Judul product nya Garansi TAM, tapi yg saya terima tidak ada Garansi TAM","1",-1,0,0,0
"Udah beli mahal mahal ternyata ada flash salenya yg garansi tam juga harga 200rban,pengiriman LAMA.pas nyampe TIDAK ADA STIKER TAM nya.ga yakin itu garansi tam bukan.","1",-1,0,-1,0
"Paket blm diterima kog bisa terkirim? ??","1",0,0,-1,0
"Judul Garansi Resmi Tam tapi yang dikirim garansi apa ini malah distributor ","1",-1,0,0,0
"Bagian metal pada stand tidak presisi pembuatannya (terlalu tebal / terlalu besar), sehingga tidak bisa fit in ke body monitor. ","1",-1,0,0,0
"Barang belum terima tetapi tertulis dlm tracking barang 'barang sdh terkirim'. Tidak jelas sistem nya dlm proses jual beli...berhati-hati utk bertransaksi utk lainnya.","1",0,0,-1,0
"Mengecewakan...

""Order Pesanan tanggal 04 Aug 2018 dan dikirim dengan jasa pengiriman FIR. setelah dicek tanggal 9 Agustus pesanan masin dalam proses.. di cek kembali tanggal 10 tau-tau status pesanan sudah berubah menjadi terkirim dan buruknya lagi mengatas namakan pembeli yang menerima pesanan. padahal pada tanggal tersebut saya tidak kemana2 dan seharian berada di rumah, tidak ada pihak kurir pengiriman satu pun yang datang. trus yang terima barang siapa ????.. moga2 investigasi dari BLIBLI cepat.. dan barang datang, harga barang sih ga seberapa cuma kepercayaan pelanggan aja...","1",0,0,-1,0
"Produk ini entah asli atau tidak. Saya belanja 2 unit dan 2-2nya corrupt ketika saya mau copy data ke dalam. Sayang ya Tidak langsung saya pakai ketika sampai. ","1",-1,0,0,0
"terima sms jam 21.07 menyatakan barang telah diterima, tp saya belum terima baranqnya dan atas nama penerima tidak saya kenali, langsung tlp cust service untuk di bantu cek dengan nomer laporan 438133032. tolong bisa di bantu follow up..","1",0,0,-1,0
"barang yg dikirim usb 2.0 di iklan usb 3.0","1",-1,0,0,0
"Kalau di pakai koq overheat ya,  mungkin juga karena barang obral","1",-1,0,0,0
"Barang yg di kirim salah.. 👎
Tapi pihak blibli cukup tanggap dlm proses return.. 👍 
Saat ini barang pengganti sedang dlm pengiriman, semoga tidak akan salah lagi..","1",-1,0,0,0
"Gmn caranya complaint ya? Barang yg dtg tdk sesuai dgn deskripsi dan gambar","1",-1,0,0,0
