"review","rating","produk","packaging","pengiriman","general"
"Manteeb, kurirnya lekas nyampe. BES memang oke. 
","5",0,0,1,0
"Produk berjalan dengan baik , cuman kebingungan kenapa file yg berformat MPEG dari USB ada yg kebaca ada yg nggak","5",-1,0,0,0
"Barang bagus, sesuai dgn info. pengiriman cepat","5",1,0,1,0
"Produk sesuai pesanan. Pengiriman suler cepat. Recommend seller.","5",1,0,1,0
"Dvd nya bagus n modelny juga bagus,sesuai dgn yg diharapkan","5",1,0,0,0
"Produk sudah diterima dan produk berfungsi dengan baik, chanel tv nya juga banyak","5",1,0,0,0
"Order tanggal 4 juli pagi, tanggal 5 juli pagi barang sudah diterima. Packing rapi, barang garansi resmi, langsung di test, bisa baca dvd lama/baret2, dvd bajakan juga lancar terbaca. Sangat puas dengan barang yang saya beli dan pelayanan blibli yang cepat.","5",1,1,1,0
"Selalu Puas belanja disini
Sayang ekspedisi nya yg kurang cepat dan g bisa pke J&T..","5",0,0,-1,0
"Barang sudah diterima dan berfungsi dengan baik","5",1,0,0,0
"Pengiriman cepat, barang aman, & suaranya ok. Thanks","5",1,0,1,0
"Oke ... Barang sudah sampai .. bagus tanpa cacat... Suara jernih n mantep. Pengiriman juga cepat. Cuman sayang koq gak ada tombol volume na.  Top gpp gak masalah itu. Barang bagus kualitas oke suara juga oke. Sesuai harga na. Trim's.","5",1,0,1,0
"Barang berfungsi dengan baik, barang juga original, pesan tengah mala, siangnay sudha sampai. ekspress dan sangat memuaskan. baranganya juga sangat mumpuni untuk harga segitu, sudah survey di tempat lain, disini paling murah.","5",1,0,1,0
"Cepat datang nya
Sesuai dgn gambar yg dijual","5",1,0,1,0
"Response cepat barang berkualitas rekommendes seller. Good job","5",1,0,0,0
"Barang original. Packaging rapi. Barang aman sampai tujuan dengan baik dan gak ada cacat sedikitpun. Cepet banget sampenya, cuma 24 jam pasca beli udah sampe. Recommended!!!","5",1,1,1,0
"Respone relatif cepat, sudah dicoba normal
Hanya pengemasan agar lebih diamankan, kemasan ada yang cacat, namun item aman","5",0,-1,0,0
"Produk diterima dgn kemasan kayu dan dus masih tersegel rapi, sesuai deskripsi dan original Asus. Laptop mulus tanpa cacat. Semoga dlm pemakaian tdk ada kendala. Thanx blibli.com","5",1,1,0,0
"Barang sudah diterima, pengiriman cepat 
Tq blibli","5",0,0,1,0
"Barang ok bgt. Sesuai dgn speksifikasi. Mulus. Thx y blibli","5",1,0,0,0
"Terima kasih barang sudah sampai dengan baik","5",0,0,0,1
"Mantab sesuai deskripsi.. Cepet sampai..
Coba langsung pairing sudah bahasa inggris..","5",1,0,1,0
"Produuuk sesuaaai, masiih sangaat puas sama bliblii,  thankyouuuu","5",1,0,0,0
"Respon cepat produk sesuai dalam gambar yg dicantumkan","5",1,0,0,0
"packing bagus dan barang sesuai pesanan, trims","5",1,1,0,0
"pengiriman cepat, respon cepat, kemasan bagus dan rapi, thanks a lot","5",0,1,1,0
"Order yg ditunggu2 akhirnya datang jg, mantab dan bisa langsung begaya....eee aaaaa","5",0,0,0,1
"Barang asli sesuai pesanan , packing bagus , cepat sampai di tujuan diterima dgn baik .. 👍","5",1,1,1,0
"Pengiriman tepat waktu..
Dan sangat memuaskan packagingnya
Buat hadiah jdi pas deh waktunya","5",0,1,1,0
"produk diterima hari itu juga dengan pilihan pengiriman pakai gosend, thanks yah","5",0,0,1,0
"packing rapi dan aman , barang sesuai","5",1,1,0,0
"Mantap produk berfungsi dgn baik dan sesuai deskripsi","5",1,0,0,0
"Lumayan dgn hrg relatif murah, jd ga harus selalu cek HP","5",0,0,0,1
"Packing rapi. Mantap. Di kasih godie bag juga ","5",0,1,0,0
"Barang sampai 22 Nov. Menyenangkan banget punya smart watch yang stylish, bisa untuk me-remote Spotify, dan yang pasti bisa berguna untuk exercise berenang saya, laffff banget.... ","5",1,0,0,0
"Pengiriman super cepat, barang sesuai semua, mantap deh","5",1,0,1,0
"Brg sampai sesuai pesanan.masih tersegel.packing aman.thx u blibli","5",1,1,0,0
"Cepat dan oke. Tinta hitam dan berwarna sdh including bersamaan printer","5",0,0,1,0
"Thx blibli, barangnya sudah diterima. Sampai cepat packing rapi barang lancar semua. Semoga awett,,,","5",1,1,1,0
"Harga murah, pengiriman super cepat, sangat puas dengan pelayanan seller dan blibli, printer dikemas dengan rapi, sudah dicoba untuk scan, copy dan print, hasilnya sangat memuaskan","5",1,1,1,0
"Terima kasih barang sudah diterima dengan baik dengan kemasan yang rapi. Secara keseluruhan saya puas dengan barang ini selain lengkap fungsinya juga dapat harga yang kompetitif dengan tambahan disc 10% dari Harbolnas.","5",1,1,0,0
"sip barangnya
langsung dikirim cepat
packing rapi
langsung digunakan untuk aktifitas","5",0,1,1,0
"Sampe cepat cuma selang 1 hari. Barang bagus. Thank you","5",1,0,1,0
