"review","rating","produk","packaging","pengiriman","general"
"Sy mau komplen ko kartu sdcart ga ke baca ya..sy pasang kartu sdcart yg 2 GB tpi ga ke baca gimna ni?apa sy harus balikin lagi barang y??","2",-1,0,0,0
"Sangat kecewa waktu pertama saya beli ada̲ dus onix ognos nya tapi sekarang gak ada dipakaiin dus bikin sendiri warna coklat. Padahal ini mau saya buat kado","2",0,-1,0,0
"Bagus tapi batreinya cepat habis sudah di cas 2 jam tapi pemakaian cuma 1 jam doang","2",-1,0,0,0
"Saya ada beli sebelumnya untuk produk sejenis persis sama di online shop sebelah, Tapi ketika saya bandingkan, kok yang saya beli disini suaranya agak cempreng dan kurang nendang, gak seperti produk yang saya beli di onlineshop sebelah...","2",-1,0,0,0
"Barang diterima tapi kemasannya basah..kardus kemasannya seperti tersiram air.. Pihak jne suruh cek barang nya supaya kalau rusak dicomplen.. tapi pas coba produk nya bisa beroperasi dg baik.. Jadi batal komplen.. Sempat was was juga..
Jadi heran kok bisa ya kardus kemasannya basah seperti itu :(
Semoga tidak terulang lagi","2",1,-1,0,0
"Yg kurang lampu blitz nya tidak sesusai harapan, ","2",-1,0,0,0
"Ini kok ga ada nomor IMEI nya?","2",-1,0,0,0
"Barang diterima dalam keadaan segel terbuka :(","2",0,-1,0,0
"Hmmm. Untuk pengiriman dan packing tidak masalah. Tpi kayaknya charger port nya bermasalah","2",-1,0,0,0
"Saya ulas merchant nya saja.. untuk produk oke2 sajalah...
Merchant saya rusa kurang sense of selling yang baik... order tgl 6 juni dan estimasi diterima 7 sampe 11 juni... kenyataannya tgl 28 juni baru sampe... bukan karena jasa pengirimnya tp emang merchantnya yang menyepelekan...
Untuk blibli, kalo ada bintang 1 kenapa tidak dimuat yah? padahal kata2 tidak menggunakan kata vulgar... Pihak blibli sudah menawarkan deadline pengiriman dan sudah disepakati pembatalannya jika melebihi waktu yang ditentukan, namun kenyataannya tidak di follow up dengan baik.
Demikian.","2",1,0,-1,0
"jelek jam samsung gear spotnya bagusan gear 3 f yg ini lebih kecil","2",-1,0,0,0
"Di printer ada tempelan alamat orang lain, lalu dari JD.ID","2",0,0,0,-1
"Di note saya blg minta dipacking dng kayu namun knp tdk dilakukan, mudah2 an kedepannya tdk ada masalah pd brg nya dan bisa berfungsi
","2",0,-1,0,0
"Barang lama di gudang, pantas murah. Banyak debunya, gitu kok gak dibersihkan dulu sebelum diberikan ke pelanggan.","2",0,-1,0,0
"Saya minta warna hitam di kasi warna biru...","2",-1,0,0,0
"Proses pengiriman produk super lama... 

Produknya berfungsi dengan baik thx","2",1,0,-1,0
"Belum ada sebulan sudah rusak nih. Ada garansi 1 tahun, kemana saya claim garansinya ya?. 

Mouse tdk kedetect bluetoothnya dan pakai receivernya juga tdk bisa kedetect","2",-1,0,0,0
"ini mouse punya 2 opsi koneksi, wireless dan bluetooth. Entah kenapa yg bluetooth susah connect dan sering drop connection dan harus re-pair. Untuk mode wirelessnya sih aman, tapi masih 2.4Ghz, jadi kalau potensi gangguan kalau banyak wifi atau device lain yang di 2.4 GHz juga","2",-1,0,0,0
"Produk ada kecacatan, tutup baterai sudah rusak, barang tidak seperti baru","2",-1,0,0,0
"ya emang peraturanya sih batas pengiriman sampe 4 hari tpi serius bgt harus hari ke 3. yg lain maksimal kirimnya hari yg sama klo ditransfer sebelum jam tertentu, ini aku transfer pagi padahal","2",0,0,-1,0
"Barang ok, sesuai.

Beli pagi pakai gosend tapi nyampenya besok malam. Delivery sangat lambat dan merugikan. Bayar gosend tp malah lambat!","2",0,0,-1,0
"Di gambar dan di iklan TV + 2 salon,kiri dan kanan
Ternyata aslinya hanya 1.

Sangat kecewa,pengiriman lama,sangat menyesal","2",-1,0,-1,0
"begitu beli harganya turun 100k, nyesel jadinya","2",0,0,0,-1
"Wiinya masih bagus, sayangnya kondisi power adapternya tidak bisa nyala, jadinya harus beli lagi sendiri.","2",-1,0,0,0
"Packing tidak dikasih bubblewrap, dus luar cacat","2",0,-1,0,0
"Pesan yg neon merah biru tapi dikirim yg grey. Mengecewakan.","2",-1,0,0,0
"barang spertinya used. 
karena sudah terpasang anti gores
batere mati total(di standby sebelumnya)
ada bekas install mario odyssey
ada user yg terdaftar
joycon tidak lancar masuknya","2",-1,0,0,0
"Antara gambar sm barang yg dikirim bentuknya beda","2",-1,0,0,0
"Yang dikirim tidak sesuai dengan yang digambar di display. Yang dikirimkan model samsung.","2",-1,0,0,0
"Barang diterima dengan cepat dan rapih, namun pada saat dilakukan penggunaan, ternyata baterei hanya bertahan kurang dari 30 menit (pada deskripsi menyebutkan bisa hingga 2 jam), sehingga membuat penggunaannya menjadi kurang nyaman.","2",-1,0,0,0
"sering lost connection, handset kiri dan kanan sering tidak biaa connect, charging box bermasalah. kadang ngecharge hanya kiri, kadang hanya kanan.","2",-1,0,0,0
